npi1,npi2,paircount,benecount,samedaycount
1841287273,1891761201,57,12,0
1841287273,1902816820,87,41,21
1841287273,1902943137,161,45,19
1841305208,1003995713,82,23,0
1841305208,1023153103,144,49,0
1841305208,1033184023,20,16,0
1841305208,1033184536,47,24,0
1841305208,1043207533,30,17,0
1841305208,1043213507,37,14,0
1841305208,1053341594,28,12,0
1841305208,1053363119,20,15,0
1841305208,1053491019,164,73,0
1841305208,1083819460,44,23,0
1841305208,1093826554,32,13,0
1841305208,1104185214,27,17,0
1841305208,1114029931,47,26,0
1841305208,1114912094,80,36,0
1841305208,1134197932,19,14,0
1841305208,1154318582,52,22,0
1841305208,1154373769,100,71,0
1841305208,1154460194,281,76,0
1841305208,1164537544,111,64,0
1841305208,1174598684,180,48,0
1841305208,1174830673,104,34,0
1841305208,1184665663,1770,622,0
1841305208,1194790345,23,12,0
1841305208,1194793414,17,11,0
1841305208,1194980680,226,63,0
1841305208,1205161387,27,22,0
1841305208,1225190143,109,60,0
1841305208,1245239524,102,30,0
1841305208,1255302717,142,60,0
1841305208,1255652285,15,11,0
1841305208,1265470298,54,38,0
1841305208,1275574493,21,12,0
1841305208,1275592230,25,16,0
1841305208,1285736009,39,14,0
1841305208,1285855239,63,16,0
1841305208,1306010962,260,123,0
1841305208,1306811732,90,31,0
1841305208,1326035759,42,19,0
1841305208,1326035809,52,17,0
1841305208,1346228517,25,21,0
1841305208,1356446397,13,12,0
1841305208,1366641060,128,57,0
1841305208,1417922774,34,22,0
1841305208,1427102813,40,13,0
1841305208,1437368891,43,15,0
1841305208,1447227152,91,45,0
1841305208,1447228606,33,15,0
1841305208,1447236823,79,31,0
1841305208,1447247770,62,30,0
1841305208,1447247929,83,41,0
1841305208,1457328197,63,34,0
1841305208,1457552903,79,45,0
1841305208,1477553139,171,81,0
1841305208,1487799110,161,55,0
1841305208,1487847828,27,18,0
1841305208,1508187360,35,17,0
1841305208,1508970971,161,71,0
1841305208,1538153564,110,44,0
1841305208,1558498402,17,11,0
1841305208,1598860553,21,18,0
1841305208,1598950545,30,13,0
1841305208,1609841006,45,21,0
1841305208,1639449796,18,12,0
1841305208,1649389503,59,25,0
1841305208,1659522712,29,14,0
1841305208,1669587036,73,32,0
